section,clause_number,clause_text,requirement_type
Marking and labelling ,29.1,"In addition to the CE marking referred to in regulation 49 and the information to be provided in accordance with regulations 13(1)(b) and 23(1), the following information must be provided— (a) for all pressure equipment— (i) the year of manufacture; (ii) identification of the pressure equipment according to its nature, such as type, series or batch identification and serial number; (iii) essential maximum/minimum allowable limits. (b) depending on the type of pressure equipment, further information necessary for the safe installation, operation or use and, where applicable, maintenance and periodic inspection of the pressure equipment such as:  45(i) the volume V of the pressure equipment in L; (ii) the nominal size for piping DN; (iii) the test pressure PT applied in bar and date; (iv) safety device set pressure in bar; (v) output of the pressure equipment in kW; (vi) supply voltage in V (volts); (vii) intended use; (viii) filling ratio kg/L; (ix) maximum filling mass in kg; (x) tare mass in kg; (xi) the fluid group; (c) where necessary, warnings fixed to the pressure equipment drawing attention to misuse which experience has shown might occur",must
Marking and labelling ,29.2,"The information referred to in sub-paragraph (1) must be given on the pressure equipment or on a dataplate firmly attached to it, with the following exceptions— (a) where applicable, appropriate documentation may be used to avoid repetitive marking of individual parts such as piping components, intended for the same assembly; (b) where the pressure equipment is too small, for example in the case of accessories, this information may be given on a label attached to that pressure equipment; (c) labelling or other adequate means may be used for the mass to be filled and the warnings referred to in sub-paragraph (1)(c), provided it remains legible for the appropriate period of time",must
Operating instructions ,30.1,"When pressure equipment is made available on the market, it must be accompanied, as far as relevant, with instructions for the user, containing all the necessary safety information relating to— (a) mounting including assembling of different pieces of pressure equipment; (b) putting into service; (c) use; (d) maintenance including checks by the user",must
Operating instructions ,30.2,"Instructions must include information affixed to the pressure equipment in accordance with paragraph 29, with the exception of serial identification, and must be accompanied, where appropriate, by the technical documents, drawings and diagrams necessary for a full understanding of these instructions",must
Operating instructions ,30.3,"If appropriate, these instructions must also refer to risks arising from misuse in accordance with paragraph 2(3) and particular features of the design in accordance with paragraph 5",must
MATERIALS ,31.1,Materials used for the manufacture of pressure equipment must be suitable for such application during the scheduled lifetime unless replacement is foreseen,must
MATERIALS ,31.3,"Materials for pressurised parts must—  46(a) have appropriate properties for all operating conditions which are reasonably foreseeable and for all test conditions, and in particular— (i) they must be sufficiently ductile and tough;  (ii) where appropriate, the characteristics of the materials must comply with the requirements of paragraph 41;  (iii) due care must be exercised in particular in selecting materials in order to prevent brittle-type fracture where necessary;  (iv) where for specific reasons brittle material has to be used, appropriate measures must be taken; (b) be sufficiently chemically resistant to the fluid contained in the pressure equipment, and in particular the chemical and physical properties necessary for operational safety must not be significantly affected within the scheduled lifetime of the equipment; (c) not be significantly affected by ageing; (d) be suitable for the intended processing procedures; (e) be selected in order to avoid significant undesirable effects when the various materials are put together",must
MATERIALS ,31.4,The pressure equipment manufacturer must— (a) define in an appropriate manner the values necessary for the design calculations referred to in paragraph 5 and the essential characteristics of the materials and their treatment referred to in subparagraph (3); (b) provide in the technical documentation elements relating to compliance with the materials specifications relating to materials contained in these Regulations in one of the following forms— (i) by using materials which comply with harmonised standards; (ii) by using materials covered by a European approval for materials in accordance with regulation 50; (iii) by a particular material appraisal,must
MATERIALS ,31.5,"For pressure equipment in categories III and IV, a specific assessment of the particular material appraisal must be performed by the notified body in charge of conformity assessment procedures for the pressure equipment",must
MATERIALS ,31.6,"The equipment manufacturer must take appropriate measures to ensure that the material used conforms with the required specification, and in particular, documentation prepared by the material manufacturer affirming compliance with a specification must be obtained for all materials",must
MATERIALS ,31.7,"For the main pressure-bearing parts of equipment in categories II, III and IV, the documentation referred to in sub-paragraph (6) must take the form of a certificate of specific product control",must
Fired or otherwise heated pressure equipment with a risk of overheating as referred to in  regulation 6 ,33.2,"Pressure equipment of the type referred to in sub-paragraph (1) must be calculated, designed and constructed so as to avoid or minimise risks of a significant loss of containment from overheating; in particular it must be ensured, where applicable, that— (a) appropriate means of protection are provided to restrict operating parameters such as heat input, heat take- off and, where applicable, fluid level so as to avoid any risk of local and general overheating; (b) sampling points are provided where required to allow evaluation of the properties of the fluid so as to avoid risks related to deposits and/or corrosion; (c) adequate provisions are made to eliminate risks of damage from deposits; (d) means of safe removal of residual heat after shutdown are provided; (e) steps are taken to avoid a dangerous accumulation of ignitable mixtures of combustible substances and air, or flame blowback",must
Piping as referred to in regulation 6(c) ,34," The design and construction of piping referred to in regulation 6(c) must ensure that— (a) that the risk of overstressing from inadmissible free movement or excessive forces being produced, e.g. on flanges, connections, bellows or hoses, is adequately controlled by means such as support, constraint, anchoring, alignment and pre-tension; (b) that where there is a possibility of condensation occurring inside pipes for gaseous fluids, means are provided for drainage and removal of deposits from low areas to avoid damage from water hammer or corrosion; (c) that due consideration is given to the potential damage from turbulence and formation of vortices; the relevant parts of paragraph 11 are applicable; (d) that due consideration is given to the risk of fatigue due to vibrations in pipes; (e) that, where fluids of Group 1 are contained in the piping, appropriate means are provided to isolate ‘take-off’ pipes the size of which represents a significant risk; (f) that the risk of inadvertent discharge is minimised; the take-off points must be clearly marked on the permanent side, indicating the fluid contained; (g) that the position and route of underground piping is recorded in the technical documentation to facilitate safe maintenance, inspection or repair. PART 6 SPECIFIC QUANTITATIVE REQUIREMENTS FOR CERTAIN PRESSURE EQUIPMENT  ",must
EQUIPMENT ,35.1,"The following provisions apply as a general rule, but where they are not applied, including in cases where materials are not specifically referred to and no harmonised standards are  48applied, the manufacturer must demonstrate that appropriate measures have been taken to achieve an equivalent overall level of safety",must
No Section Title,37," The permissible general membrane stress for predominantly static loads and for temperatures outside the range in which creep is significant must not exceed the smaller of the following values, according to the material used— (a) in the case of ferritic steel including normalised (normalised rolled) steel and excluding fine-grained steel and specially heat-treated steel, 2/3 of Re/t and 5/12 of Rm/20, (b) in the case of austenitic steel— (i) if its elongation after rupture exceeds 30%, 2/3 of Re/t (ii) or, alternatively, and if its elongation after rupture exceeds 35%, 5/6 of Re/t and 1/3 of Rm/t, (c) in the case of non-alloy or low-alloy cast steel, 10/19 of Re/t and 1/3 of Rm/20, (d) in the case of aluminium, 2/3 of Re/t, (e) in the case of aluminium alloys excluding precipitation hardening alloys 2/3 of Re/t and 5/12 of Rm/20. Joint coefficients  ",must
Joint coefficients ,38.1,"For welded joints, the joint coefficient must not exceed the following values— (a) for equipment subject to destructive and non-destructive tests which confirm that the whole series of joints show no significant defects: 1; (b) for equipment subject to random non-destructive testing: 0",must
Joint coefficients ,38.2,"If necessary, in addition to the factors referred to in sub-paragraph (1), the type of stress and the mechanical and technological properties of the joint must also be taken into account",must
"Pressure limiting devices, particularly for pressure vessels ",39, The momentary pressure surge referred to in paragraph 16 must be kept to 10% of the maximum allowable pressure. Hydrostatic test pressure  ,must
Hydrostatic test pressure ,40," For pressure vessels, the hydrostatic test pressure referred to in paragraph 27 must be no less than whichever is greater of the following— (a) that corresponding to the maximum loading to which the pressure equipment may be subject in service taking into account its maximum allowable pressure and its maximum allowable temperature, multiplied by the coefficient 1.25;  49(b) the maximum allowable pressure multiplied by the coefficient 1.43. Material characteristics  ",must
Material characteristics ,41," Unless other values are required in accordance with other criteria that must be taken into account, a steel is considered as sufficiently ductile to satisfy paragraph 31(3)(a) if, in a tensile test carried out by a standard procedure, its elongation after rupture is no less than 14% and its bending rupture energy measured on an ISO V test-piece is no less than 27 J, at a temperature not greater than 20oC but not higher than the lowest scheduled operating temperature.  SCHEDULE 3 Regulation 10 Classification of pressure equipment  ",must
Classification of pressure equipment ,1, Pressure equipment referred to in regulation 6 must be classified by category in accordance with Annex II to the Directive (as amended from time to time) according to an ascending level of hazard.  ,must
No Section Title,2.1,"In order to determine the appropriate category for classification of pressure equipment coming within regulation 6(a) to (c), the manufacturer must refer to the following tables within Annex II to the Directive, as amended from time to time— (a) for pressure equipment coming within— (i) regulation 6(a)(i)(aa), table 1; (ii) regulation 6(a)(i)(bb), table 2; (iii) regulation 6(a)(ii)(aa), table 3; (iv) regulation 6(a)(ii)(bb), table 4; (v) regulation 6(b), table 5; (vi) regulation 6(c)(i)(aa), table 6; (vii) regulation 6(c)(i)(bb), table 7; (viii) regulation 6(c)(ii)(aa), table 8; (ix) regulation 6(c)(ii)(bb), table 9; (b) for pressure equipment coming within regulation 6(d), the category must be determined in accordance with paragraphs (2) and (3) of Annex II",must
No Section Title,2.2,"Where a vessel is composed of a number of chambers, it must be classified in the highest category applicable to the individual chambers and, where a chamber contains several fluids, classification must be on the basis of the fluid which requires the highest category",must
No Section Title,3.1,", fluids shall be divided into the following two groups— (1) a fluid in Group 1 means— (a) a substance or mixture— (i) as defined in Article 2(7) and (8) respectively of the CLP Regulation; and (ii) that is classified as hazardous in accordance with the following physical or health hazard classes laid down in Parts 2 and 3 of Annex I to the CLP Regulation— (aa) unstable explosives or explosives of Divisions 1",shall
Notified body requirements ,1, A notified body or recognised third party organisation must meet the requirements for conformity assessment bodies set out in this Schedule.  ,must
No Section Title,2, A conformity assessment body must be established in the United Kingdom and have legal personality.   ,must
No Section Title,3, A conformity assessment body must be a third party body independent of the organisation or the pressure equipment it assesses.   ,must
No Section Title,4.1,"A conformity assessment body, its top level management and the personnel responsible for carrying out the conformity assessment activities must not be the designer, manufacturer, supplier, installer, purchaser, owner, user or maintainer of pressure equipment or assemblies, nor the representative of any of those parties",must
No Section Title,5," A conformity assessment body, its top level management and the personnel responsible for carrying out the conformity assessment activities must not be directly involved in the design, manufacture or construction, the marketing, installation, use or maintenance of pressure equipment or assemblies, or represent the parties engaged in those activities.  ",must
No Section Title,6," A conformity assessment body, its top level management and the personnel responsible for carrying out the conformity assessment activities must not engage in activity that may conflict                                                                                                                                             (a) OL L 353, 31.12.2008.  51with their independence of judgment or integrity in relation to conformity assessment activities for which they are notified (including consultancy services).   ",must
No Section Title,7," A conformity assessment body must ensure that the activities of its subsidiaries or subcontractors do not affect the confidentiality, objectivity or impartiality of their conformity assessment activities.   ",must
No Section Title,8," A conformity assessment body and its personnel must carry out the conformity assessment activities with the highest degree of professional integrity and the requisite technical competence in the specific field and must be free from all pressures and inducements, particularly financial, which might influence their judgment or the results of their conformity assessment activities, especially as regards persons or groups of persons with an interest in those activities.   ",must
No Section Title,9," A conformity assessment body must be capable of carrying out all of the conformity assessment activities for which it has been authorised, whether those activities are carried out by the conformity assessment body itself or on its behalf and under its responsibility.   ",must
No Section Title,10," A conformity assessment body must have at its disposal— (a) personnel with technical knowledge and sufficient and appropriate experience to perform the conformity assessment activities; (b) descriptions of procedures in accordance with which conformity assessment is carried out, ensuring the transparency and the ability of reproduction of those procedures, and have appropriate policies and procedures in place that distinguish between tasks it carries out as a notified body and other activities; (c) procedures for the performance of activities which take due account of the size of an undertaking, the sector in which it operates, its structure, the degree of complexity of the product technology in question and the mass or serial nature of the process.  ",must
No Section Title,11, A conformity assessment body must have the means necessary to perform the technical and administrative tasks connected with the conformity assessment activities in an appropriate manner and must have access to the necessary equipment or facilities.   ,must
No Section Title,12," The personnel responsible for carrying out conformity assessment activities must have— (a) sound technical and vocational training covering all the conformity assessment activities in relation to which the conformity assessment body has been notified; (b) satisfactory knowledge of the requirements of the assessments which the personnel carry out and adequate authority to carry out those assessments; (c) appropriate knowledge and understanding of the essential safety requirements, of the applicable harmonised standards and of the Directive and of these Regulations; and (d) the ability to draw up certificates, records and reports demonstrating that assessments have been carried out.  ",must
No Section Title,13, A conformity assessment body must be able to demonstrate the impartiality of its top level management and the personnel responsible for carrying out the conformity assessment activities.   ,must
No Section Title,14, The remuneration of the top level management and the personnel responsible for carrying out the conformity assessment activities must not depend on the number of assessments carried out or on the results of those assessments.   ,must
No Section Title,15," A conformity assessment body must have, and must satisfy the Secretary of State that it has, adequate civil liability insurance in respect of its activities.   ",must
No Section Title,16, A conformity assessment body must ensure that its personnel observe professional secrecy with regard to all information obtained in carrying out their tasks in accordance with these Regulations and that proprietary rights are protected.  ,must
No Section Title,18," A conformity assessment body must participate in, or ensure that its personnel who are responsible for carrying out the conformity assessment activities are informed of, the relevant standardisation activities and the activities of any notified body coordination group established under the Directive and must apply as general guidance the administrative decisions and documents produced as a result of the work of that group.  SCHEDULE 5 Regulation 2(1), 58(3) User inspectorate requirements  ",must
User inspectorate requirements ,1, A user inspectorate must be established in the United Kingdom and have legal personality.   ,must
User inspectorate requirements  1. A user inspectorate must be established in the United Kingdom and have legal personality.  ,2, A user inspectorate must be organisationally identifiable and have reporting methods within the group of which it is part which can demonstrate its impartiality.   ,must
No Section Title,3.1,"A user inspectorate, its top level management and the personnel responsible for carrying out the conformity assessment tasks must not be the designer, manufacturer, supplier, installer, purchaser, owner, user or maintainer of the pressure equipment or assembly which they assess, nor the authorised representative of any of those parties",must
No Section Title,4," A user inspectorate, its top level management and the personnel responsible for carrying out the conformity assessment tasks must not be directly involved in the design, manufacture or construction, the marketing, installation, use or maintenance of that pressure equipment or  assembly, or represent the parties engaged in those activities.   ",must
No Section Title,5," A user inspectorate, its top level management and the personnel responsible for carrying out the conformity assessment tasks must not engage in activity that may conflict with their independence of judgment or integrity in relation to conformity assessment activities for which they are notified (including consultancy services).   ",must
No Section Title,6," A user inspectorate and its personnel must carry out the conformity assessment activities with the highest degree of professional integrity and the requisite technical competence in the specific field and must be free from all pressures and inducements, particularly financial, which might influence their judgment or the results of their conformity assessment activities, especially as regards persons or groups of persons with an interest in the results of those activities.   ",must
No Section Title,7," A user inspectorate must be capable of carrying out all of the conformity assessment tasks in respect of which it has been notified, whether those tasks are carried out by the user inspectorate itself or on its behalf and under its responsibility.   ",must
No Section Title,8," A user inspectorate must have at its disposal at all times and for each conformity assessment procedure and each kind or category of pressure equipment in relation to which it has been notified—  (a) personnel with technical knowledge and sufficient and appropriate experience to perform the conformity assessment tasks; (b) descriptions of procedures in accordance with which conformity assessment is carried out, ensuring the transparency and the ability of reproduction of those procedures, and have appropriate policies and procedures in place that distinguish between tasks it carries out as a user inspectorate and other activities; and (c) procedures for the performance of activities which take due account of the size of an undertaking, the sector in which it operates, its structure, the degree of complexity of the product technology in question and the mass or serial nature of the production process.  53 ",must
No Section Title,9, A user inspectorate must have the means necessary to perform the technical and administrative tasks connected with the conformity assessment activities in an appropriate manner and must have access to all necessary equipment or facilities.   ,must
No Section Title,10," The personnel responsible for carrying out conformity assessment tasks must have— (a) sound technical and vocational training covering all the conformity assessment activities in relation to which the conformity assessment body has been notified; (b) satisfactory knowledge of the requirements of the assessments which the personnel carry out and adequate authority to carry out those assessments; (c) appropriate knowledge and understanding of the essential safety requirements, of the applicable harmonised standards and of the Directive and of these Regulations; and (d) the ability to draw up certificates, records and reports demonstrating that assessments have been carried out.  ",must
No Section Title,11, A user inspectorate must be able to demonstrate the impartiality of its top level management and the personnel responsible for carrying out the conformity assessment activities.  User inspectorates must not engage in any activities that might conflict with their independence of judgment and integrity in relation to their inspection activities.  ,must
No Section Title,12, The remuneration of the top level management and the personnel responsible for carrying out the conformity assessment tasks must not depend on the number of assessments carried out or on the results of those assessments.   ,must
No Section Title,13," Unless liability is assumed by the group of which it is part, a user inspectorate must have, and must satisfy the Secretary of State that it has, adequate civil liability insurance in respect of its activities. If liability is assumed by the group of which the user inspectorate is part, the user inspectorate must satisfy the Secretary of State that that group has adequate civil liability insurance in respect of those activities.    ",must
No Section Title,14, A user inspectorate must ensure that its personnel observe professional secrecy with regard to all information obtained in carrying out their tasks in accordance with these Regulations and that proprietary rights are protected.  ,must
State. ,16," A user inspectorate must participate in, or ensure that its personnel who are responsible for carrying out the conformity assessment activities are informed of, the relevant standardisation activities and the activities of any notified body coordination group established under the Directive and must apply as general guidance the administrative decisions and documents produced as a result of the work of that group.  SCHEDULE 6 Regulation 64(1) Operational obligations of notified bodies, recognised third party organisations and user inspectorates  ",must
"Operational obligations of notified bodies, recognised third party  organisations and user inspectorates ",1," A notified body, recognised third party organisation or user inspectorate must carry out conformity assessments in accordance with the relevant conformity assessment procedures.  ",must
No Section Title,2," A notified body, recognised third party organisation or user inspectorate must carry out conformity assessments in a proportionate manner, avoiding unnecessary burdens on economic operators.  ",must
No Section Title,3," A notified body, recognised third party organisation or user inspectorate must perform its activities taking due account of the size of an undertaking, the sector in which it operates, its structure, the degree of complexity of the product technology in question and the mass or serial nature of the production process.  54 ",must
No Section Title,4," A notified body, recognised third party organisation or user inspectorate must respect the degree of rigour and the level of protection required to ensure that the pressure equipment is in conformity with the requirements of these Regulations.  ",must
No Section Title,5," Where a notified body, recognised third party organisation or user inspectorate finds that essential safety requirements or corresponding harmonised standards or other technical specifications have not been met by a manufacturer, it must require the manufacturer to take appropriate corrective measures and must not issue a certificate of conformity or grant an approval.   ",must
No Section Title,6," Where, in the course of the monitoring of conformity following the issue of a certificate or grant of an approval, a notified body, recognised third party organisation or user inspectorate finds that pressure equipment or an assembly is no longer in conformity with the essential safety requirements, it must require the manufacturer to take appropriate corrective measures and must suspend or withdraw the certificate of conformity or approval if necessary.   ",must
No Section Title,7," Where the notified body, recognised third party organisation or user inspectorate has required a manufacturer to take corrective measures and the manufacturer has failed to take such measures, or those measures have not had the required effect, the notified body must restrict, suspend or withdraw any certificate of conformity or approval.   ",must
No Section Title,9," Where this paragraph applies, the notified body, recognised third party organisation or user inspectorate must— (a) give the person applying for the certificate or approval, or the person to whom the certificate or approval was given, a notice in writing giving reasons and specifying the date on which the refusal, restriction, suspension or withdrawal is intended to take effect; (b) give the person applying for the certificate or approval, or the person to whom the certificate or approval was given, an opportunity to make representations within a reasonable period from the date of the notice; and (c) take account of any such representations before taking its decision.   ",must
No Section Title,10," A notified body, recognised third party organisation or user inspectorate must inform the Secretary of State of—  (a) any refusal, restriction, suspension or withdrawal of a certificate of conformity or approval; (b) any circumstances affecting the scope of, or conditions for, notification under regulation 55 (notification); (c) any request for information which it has received from an enforcing authority regarding conformity assessment activities; and (d) on request, conformity assessment activities performed within the scope of its notification under regulation 55 and any other activity performed, including cross-border activities and subcontracting.  ",must
No Section Title,11," A notified body, recognised third party organisation or user inspectorate must make provision in its contracts with its clients enabling such clients to appeal against a decision— (a) to refuse to issue a certificate of conformity or grant an approval; or (b) to restrict, suspend or withdraw a certificate of conformity or approval.  ",must
No Section Title,12," A notified body, recognised third party organisation or user inspectorate must provide other bodies notified under the Directive carrying out similar conformity assessment activities covering  55the same pressure equipment and assemblies with relevant information on issues relating to negative and, on request, positive conformity assessment results.   ",must
No Section Title,13," A notified body, recognised third party organisation or user inspectorate must participate in the work of any notified body coordination group established under the Directive, directly or by means of its designated representatives.   SCHEDULE 7 Regulation 68(1) Enforcement powers of weights and measures authorities, district councils and the Secretary of State under the 1987 Act Enforcement powers under the 1987 Act  ",must
Modifications to the 1987 Act ,2.1,", for “unsafe” on each occasion that it appears, there were substituted “non-compliant”; (ii) in subsection (1), “relevant” were omitted on each occasion that it appears; (iii) in subsection (2), the words from “; and the Secretary of State may” to the end were omitted; (iv) subsections (4) to (7) were omitted; (b) in section 14— (i) in subsection (1), after “any safety provision has been contravened in relation to any goods”, there were inserted “or that such goods present a risk”; (ii) in subsection (2(b), after “safety provision has been contravened in relation to the goods”, there were inserted “or that such goods present a risk”;  56(iii) in subsection (2)(c), “under section 15 below” were omitted; (iv) subsections (6) to (8) were omitted; (c) in section 16— (i) in subsection (1), after “a contravention in relation to the goods of a safety provision” there were inserted “or that such goods present a risk”; (ii) for subsection (2)(b) there were substituted— (iii) “(b) where an application with respect to some or all of the goods has been made to a magistrates’ court under regulation 84 (appeals against notices) of the 2016 Regulations, or section 33, to that court; and”; (iv) in subsection (3), after “a contravention in relation to the goods of a safety provision” there were inserted “or that such goods present a risk”; (v) after subsection (4), there were inserted— “(4A) A court may infer for the purposes of this section that any goods present a risk, if it is satisfied that such a risk is presented by goods which are representative of those goods (whether by reason of being of the same design or part of the same consignment or batch or otherwise).”; (vi) in subsection (6), the words “Subject to subsection (7) below,” were omitted; and (vii) subsection (7) were omitted; (d) in section 17— (i) in subsection (1), after “a contravention of a safety provision”, there were inserted “or where the goods present a risk”; (ii) in subsection (6), after “a contravention in relation to those goods of a safety provision” there were inserted “or that those goods present a risk”; (iii) after subsection (7), there were inserted— “(7A) (The Sheriff may infer for the purposes of this section that any goods present a risk, if satisfied that such a risk is presented by goods which are representative of those goods (whether by reason of being of the same design or part of the same consignment or batch or otherwise).”; (e) in section 18, subsections (3) and (4) were omitted; (f) in section 29— (i) in subsection (4)(a), after “any contravention of any safety provision in relation to the goods” there were inserted “or whether the goods present a risk”; (ii) in subsection (4)(b), after “any such contravention” there were inserted “or whether the goods present a risk”; (g) in section 30— (i) at the end of subsection (2)(a)(ii), for “and” there were substituted “or”; (ii) after subsection (2)(a)(ii), there were inserted—  “(iii) that any goods which any officer has power to inspect under section 29 are on any premises and their inspection is likely to demonstrate that they present a risk; and”; and (iii) subsections (5), (7) and (8) were omitted; (h) in section 31(1), for “Part II of this Act”, there were substituted “the 2016 Regulations”; (i) in section 34— (i) the word “and” at the end of subsection (1)(a) were omitted; and (ii) after that subsection, there were inserted— “(aa) the goods do not present a risk; and”; (j) in section 37(1), for “Part II of this Act”, there were substituted “the 2016 Regulations”;  57(k) in section 45(1)— (i) the definitions of “conditional sale agreement”, “gas”, “motor vehicle”, “personal injury”, “subordinate legislation” and “substance” were omitted; (ii) before the definition of “aircraft”, there were inserted— ““the 2016 Regulations” means the Pressure Equipment (Safety) Regulations 2016”; (iii) for the definition of “enforcement authority” there were substituted— ““enforcement authority” means an enforcing authority as defined in regulation 2(1) of the 2016 Regulations;”; (iv) for the definition of “goods” there were substituted— ““goods” means pressure equipment and assemblies within the scope of the 2016 Regulations;”; (v) after the definition of “modifications” there were inserted— ““non-compliant” in relation to any goods means that— (a) a safety provision has been contravened in relation to the goods; or (b) the goods present a risk;”; (vi) after the definition of “premises”, there were inserted— ““present a risk” means present a risk within the meaning set out in regulation 2(4) of the 2016 Regulations;”; (vii) for the definition of “safety provision” there were substituted— ““safety provision” means any provision of the 2016 Regulations”; and (viii) for the definition of “safety regulations” there were inserted— ““safety regulations” means the 2016 Regulations;”; (l) in section 46(1), the words “and, in relation to gas or water, those references shall be construed as including references to providing the service by which the gas or water is made available for use” were omitted; and (m) in Schedule 2— (i) for “unsafe”, on each occasion that it appears, there were substituted “non-compliant”; and (ii) for “safe”, on each occasion that it appears, there were substituted “not non-compliant”",shall
Compliance notice ,1.2,"A compliance notice must— (a) require the relevant economic operator on which it is served to— (i) end the non-compliance within such period as may be specified in the notice; (ii) provide evidence, within such period as may be specified in the notice, demonstrating to the satisfaction of the enforcing authority that the non-compliance has not in fact occurred; (b) warn the economic operator that, if the non-compliance persists or if satisfactory evidence has not been produced under sub-paragraph (a) within the period specified in the notice, further action may be taken in respect of the pressure equipment or assembly or any pressure equipment or assembly of the same type made available on the market by that relevant economic operator",must
Withdrawal notice ,2.2,A withdrawal notice must prohibit the relevant economic operator from making the pressure equipment or assembly available on the market without the consent of the enforcing authority,must
Recall notice ,3.2,A recall notice must require the relevant economic operator to use reasonable endeavours to organise the return of the pressure equipment or assembly from end-users to the relevant economic operator or another person specified in the notice,must
